distance,speed,heart_rate,cadence,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
2939.91,3.686,145,84,831,254.72,44.97734287753701,-93.2292383350432,6091847648,254.6778801843318,-0.042119815668201,2021-01-11T18:17:09Z
2942.78,3.658,145,85,832,254.72,44.977368358522654,-93.22923104278745,6091847648,254.66281105990782,-0.05718894009217479,2021-01-11T18:17:10Z
2945.61,3.62,144,85,833,254.73,44.97739367187023,-93.22922375053167,6091847648,254.64930875576036,-0.08069124423963103,2021-01-11T18:17:11Z
2948.94,3.602,144,85,834,254.75,44.97741714119911,-93.229196257889285,6091847648,254.6382949308756,-0.1117050691244117,2021-01-11T18:17:12Z
2952.36,3.592,145,84,835,254.75,44.97743985615671,-93.2291656639427,6091847648,254.63032258064516,-0.11967741935484355,2021-01-11T18:17:13Z
2955.59,3.574,144,84,836,254.74,44.97745661996305,-93.22913129813968,6091847648,254.62493087557604,-0.1150691244239681,2021-01-11T18:17:14Z
2958.98,3.574,145,84,837,254.74,44.97747774235904,-93.22909944690764,6091847648,254.62198156682027,-0.11801843317974203,2021-01-11T18:17:15Z
2963.84,3.555,144,84,838,254.73,44.97750548645854,-93.2290462218225,6091847648,254.62092165898616,-0.10907834101382718,2021-01-11T18:17:16Z
2968.28,3.555,144,84,839,254.7,44.97753331437707,-93.22900305502117,6091847648,254.62124423963132,-0.07875576036866505,2021-01-11T18:17:17Z
2972.37,3.574,144,83,840,254.66,44.97756223194301,-93.22896902449428,6091847648,254.6227188940092,-0.037281105990786045,2021-01-11T18:17:18Z
2976.22,3.583,142,83,841,254.63,44.97759131714702,-93.22893993929029,6091847648,254.62543778801844,-0.00456221198155049,2021-01-11T18:17:19Z
2980.57,3.592,143,83,842,254.52,44.97763037681579,-93.22893130593002,6091847648,254.62967741935483,0.10967741935482422,2021-01-11T18:17:20Z
2983.98,3.592,142,83,843,254.42,44.977662563323975,-93.22892979718743,6091847648,254.63622119815668,0.2162211981566884,2021-01-11T18:17:21Z
2986.93,3.62,142,83,844,254.34,44.97768787667155,-93.2289423700422,6091847648,254.6453456221198,0.3053456221198019,2021-01-11T18:17:22Z
2989.99,3.62,142,83,845,254.29,44.977714363485575,-93.2289534341544,6091847648,254.6574193548387,0.36741935483871657,2021-01-11T18:17:23Z
2993.4,3.574,141,83,846,254.22,44.97774495743215,-93.2289566192776,6091847648,254.67175115207374,0.45175115207374006,2021-01-11T18:17:24Z
2997.41,3.564,141,84,847,254.22,44.97778125107288,-93.22895905002952,6091847648,254.6883870967742,0.4683870967741939,2021-01-11T18:17:25Z
3001.4,3.564,139,84,848,254.22,44.97781662270427,-93.2289677672088,6091847648,254.70668202764978,0.48668202764977764,2021-01-11T18:17:26Z
3005.21,3.574,139,84,849,254.38,44.97785056941211,-93.228974137455225,6091847648,254.72640552995392,0.3464055299539268,2021-01-11T18:17:27Z
3008.75,3.574,139,84,850,254.66,44.977881917729974,-93.22898260317744,6091847648,254.74718894009217,0.08718894009217593,2021-01-11T18:17:28Z
3012.5,3.592,140,84,851,254.69,44.977914774790406,-93.22899349965157,6091847648,254.76824884792626,0.07824884792626108,2021-01-11T18:17:29Z
3015.83,3.592,141,84,852,254.78,44.97794369235635,-93.2290049828589,6091847648,254.78917050691246,0.009170506912454357,2021-01-11T18:17:30Z
3019.63,3.602,141,87,853,254.81,44.97797688469291,-93.22901604697108,6091847648,254.8094930875576,-5.069124424039728e-4,2021-01-11T18:17:31Z
